"Date","Remarks","Value"
2007-05-03,NA,0.0198
2007-05-31,NA,0.0613
2007-06-18,NA,0.053
2007-07-18,NA,0.0379
2007-08-22,NA,0.0487
2007-09-12,NA,0.0743
2007-10-03,NA,0.0364
2007-10-24,NA,0.164
2007-11-13,NA,0.0191
2018-03-12,NA,0.0058
2018-03-20,NA,0.0104
2018-04-03,NA,0.0169
2018-04-18,NA,0.014
2018-04-26,NA,0.0106
2018-05-01,NA,0.0069
2018-05-15,NA,0.0222
2018-05-23,NA,0.111
2018-05-29,NA,NA
2018-06-19,NA,0.022
2019-06-18,NA,0.0179
2019-07-16,NA,0.0147
2021-09-22,NA,0.008
2021-09-24,NA,0.0571
2021-10-14,NA,0.0112
2021-10-18,NA,0.0507
2021-11-10,NA,0.0168
2022-05-05,NA,0.0151
2022-05-20,NA,0.0094
2022-06-01,NA,0.0216
2022-06-16,NA,0.1051
2022-07-11,NA,0.0152
2022-07-20,NA,0.0167
2022-08-03,NA,0.0148
2022-08-23,NA,0.0395
2022-09-08,NA,0.0243
2022-09-21,NA,0.0162
2022-10-05,NA,0.0087
2022-10-19,NA,0.013
